tweetId,isRetweet,time,text,replies,retweets,likes,entries
1195014864818900993,False,2019-11-15 00:25:20,"We’re starting from the ground up with less than a year to go until voters head to the polls. But with the dedication of supporters like you, we can build a movement -- not for you but by you. Contribute today.",1087,206,896,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'iCd1Dr46XdD3akxL'}]}"
1205575355484049408,False,2019-12-14 03:48:57,"Thank you, Michigan. Looking forward to working together to build a campaign that brings everybody in and gives us all a reason to believe https://twitter.com/aleighacavalier/status/1205572599641780225 …",2,22,69,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205563080228261888,True,2019-12-14 03:00:11,Thank you @DevalPatrick  for sponsoring our Granite Slate Awards as a Majority Keeper this year! We look forward to hearing from you later at the Masonic Temple! *Speaking program at 6pm* #GSA202 pic.twitter.com/9JnTZqYKMQ,1,7,16,"{'hashtags': ['#GSA2020'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELsFO2_VUAAASpn.png'], 'videos': []}"
1205568316099747840,False,2019-12-14 03:20:59,"As Governor of MA, I recognized that I was Governor for every person who lived in MA, not just those who voted for me or who agreed with me. Gov. DeSantis should recognize he holds the same responsibilities, and fight for all Floridians’ voices to be heard. #LetUsVoteF https://twitter.com/fladems/status/1205563474807578624 …",14,78,201,"{'hashtags': ['#LetUsVoteFL', '#Amendment4', '#LetUsVoteFL', '#flapol'], 'urls': [], 'photos': [], 'videos': []}"
1205523703120957440,False,2019-12-14 00:23:43,Nothing is more important than ensuring we have a fair and free democracy. Join us at 2 PM https://twitter.com/fladems/status/1205472437875302400 …,8,17,35,"{'hashtags': ['#LetUsVoteFL', '#FlaPol', '#Sayfie'], 'urls': [], 'photos': [], 'videos': []}"
1205521439652220929,False,2019-12-14 00:14:43,This is a dark day in our nation’s history and a grave but necessary outcome. President Trump must be held accountable for his actions in order to preserve our democracy and ensure progress for generations to come https://twitter.com/cnnbrk/status/1205505788783079425 …,9,18,82,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205155344319680513,False,2019-12-12 23:59:59,Like most Americans— I don’t fit in a box. We don’t need more labels in our politics. We need results https://www.buzzfeednews.com/article/bensmith/the-stakes-deval-patrick …,5,14,37,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204792256454152192,False,2019-12-11 23:57:12,My heart breaks for families of those who lost loved ones. I am overwhelmed at the sacrifice made by Detective Joseph Seals to keep us safe.,0,4,22,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204788617790525440,False,2019-12-11 23:42:45,We cannot get numb to this. We cannot accept hatred and extremism or deny their inextricable link to the rise of gun violence in our country. We cannot accept a political system that refuses to protect our communities. These tragedies are unacceptable and preventable https://twitter.com/nytimes/status/1204770148932104192 …,5,28,98,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204772531879710725,False,2019-12-11 22:38:49,A well deserved achievement for an extraordinary young woman. Greta is a reminder of the responsibility we have for the generations that come after us-- both for the people and for our planet. #timepo https://twitter.com/time/status/1204743717132914688 …,7,28,133,"{'hashtags': ['#timepoy', '#TIMEPOY'], 'urls': [], 'photos': [], 'videos': []}"
1204498646756139009,False,2019-12-11 04:30:30,"Democrats are talking about all of the right things, but to get change that lasts, we need a leader who can actually improve the lives of Americans. It's not about having a plan or ambition — it's about having results https://www.buzzfeednews.com/article/darrensands/deval-patrick-new-hampshire-2020-warren …",15,36,80,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204458675290693632,False,2019-12-11 01:51:40,"We have a generational responsibility to leave things better for those who come after us. Our politics must reflect that enduring truth. And always, look to young people to lead.
#HumanRightsDa https://twitter.com/unhumanrights/status/1204428037158244352 …",2,19,38,"{'hashtags': ['#HumanRightsDay', '#StandUp4HumanRights', '#HumanRightsDay', '#YAS19'], 'urls': [], 'photos': [], 'videos': []}"
1204415599780098048,False,2019-12-10 23:00:30,"We have a dangerous and lawless president who has disregarded the Constitution at the expense of the American people. That demands accountability. Impeachment is a grave act, but we can’t afford to wait https://twitter.com/politico/status/1204413602964181000 …",7,39,111,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204206346410897413,False,2019-12-10 09:09:00,"What an inspiration, what an impact, what a life https://www.bostonglobe.com/sports/2019/12/09/ballplayer-and-person-pete-frates-hit-out-park/ZTTtZJov2N6UeXPaNIuhsM/story.html …",1,22,88,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203412013269078016,True,2019-12-08 04:32:36,Great conversation with ⁦@DevalPatrick⁩ this afternoon in Nashua. ⁦@NashuaDemocrats pic.twitter.com/Gopk2EiKs5,1,25,79,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELNg2ARX0AE_h27.jpg'], 'videos': []}"
1203461063192252422,False,2019-12-08 07:47:31,Many thanks to Lyn Rosoff and @YorkCountyDem for the warm welcome and great discussion. #devalforall #deval202 pic.twitter.com/OfNqQnhQPi,3,20,61,"{'hashtags': ['#devalforall', '#deval2020'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELONdO0W4AE3Ymt.jpg'], 'videos': []}"
1203405836296630272,False,2019-12-08 04:08:04,"New Hampshire deserves a leader who fights for fair wages for their state employees, but Governor Sununu has shown little empathy and decency by forcing @SEIU1984 workers to go without a contract even as the fact-finding reports say they deserve better.  #nhpolitics",6,39,111,"{'hashtags': ['#nhpolitics'], 'urls': [], 'photos': [], 'videos': []}"
1203167460867788801,True,2019-12-07 12:20:51,"""Look at you now!""

@DevalPatrick says he sometimes hears his grandmother's voice in his head. 

He grew up sharing bunk beds with his single mom on welfare. 

He'd graduate from Harvard & win 2 terms as MA Gov. 

Now, he's running for Pres. to unify the country. 

@FOXLA 10:30 pic.twitter.com/5DgNENLepJ",11,40,86,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'R5o-Wmz76_vkHKhx'}]}"
1203025837408292865,False,2019-12-07 02:58:05,We don’t have to agree on everything before we work together on anything; but we have to agree that everyone be treated with dignity and respect.,3,25,75,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203025150448480257,False,2019-12-07 02:55:21,"To try and perpetuate a different story today is irresponsible and ignores the message of hate and division intended by many and received by more, in South Carolina and beyond.",3,21,77,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203025040503197696,False,2019-12-07 02:54:55,"The symbol of the Confederacy was hijacked long ago. It was hijacked by people who tried to make it into something other than a symbol of slavery, white supremacy, and rebellion https://twitter.com/jasonscampbell/status/1203002830329712641 …",16,98,356,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202752871751671808,False,2019-12-06 08:53:25,"If we want big change that lasts we have to bring other people in. To win, we need everybody, everywhere. We need the people who feel left out and feel left back, the people who participate all the time and those never do— and everyone in between https://www.msnbc.com/ali-velshi/watch/-we-have-to-be-about-connecting-with-voters-everywhere-74590789653 …",20,53,144,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202683587872657408,True,2019-12-06 04:18:06, up next: @DevalPatrick joins @AliVelshi on @MSNBC — tune in! ,3,13,31,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202678819632619521,False,2019-12-06 03:59:09,Excited for Matthew to bring his knowledge and experience to my team https://twitter.com/meganmesserly/status/1202639847040532480 …,8,9,43,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202623705068851201,False,2019-12-06 00:20:09,"Democracy demands accountability, and elections deserve integrity. Thank you @SpeakerPelosi for standing up for all of us. We can't afford to wait https://www.npr.org/2019/12/05/785014085/watch-live-pelosi-addresses-status-of-impeachment-inquiry …",6,40,158,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202363164874199045,False,2019-12-05 07:04:51,"My grandmother used to say that we weren't poor, just broke, because broke was temporary. Like so many others, we used food stamps at times. This cruel move by the Trump administration just makes it harder for families to get on their feet and for kids to succeed https://twitter.com/alexwagner/status/1202270886319009792 …",23,120,315,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
