tweetId,isRetweet,time,text,replies,retweets,likes,entries
1205293508057190405,False,2019-12-13 09:09:00,"We may not be on the debate stage, but we’re shaping the debate.

I’m not going to stop fighting for the most vulnerable, or telling truths other candidates won’t.

If you believe in fighting for an America where everyone counts, join us. >> http://bit.ly/Castro- pic.twitter.com/Ig2zoJN3Fn",60,370,1724,"{'hashtags': [], 'urls': ['http://bit.ly/Castro-'], 'photos': [], 'videos': [{'id': 'Jj8BGAeg0Jvm7-We'}]}"
1205624250171830273,False,2019-12-14 07:03:15,"This SUNDAY, December 15th, is the deadline to get covered on http://healthcare.gov .

We must continue to fight for everyone in America to have high-quality, affordable health care https://twitter.com/barackobama/status/1204448901291487233 …",15,265,545,"{'hashtags': [], 'urls': ['http://healthcare.gov'], 'photos': [], 'videos': []}"
1205614828724916224,True,2019-12-14 06:25:49,Castro has consistently been the most truthful candidate in the race https://twitter.com/juliancastro/status/1205568067121475586 …,28,635,3487,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205592587563868165,False,2019-12-14 04:57:26,"It's free sticker day! 

Get your El Presidente sticker with any donation of $10 or more, and show your support for #TeamJulián http://bit.ly/Castro-sticker pic.twitter.com/K6kLuz7sfQ",21,80,267,"{'hashtags': ['#TeamJulián'], 'urls': ['http://bit.ly/Castro-sticker'], 'photos': ['https://pbs.twimg.com/media/ELsfcOyWsAYj3F_.png'], 'videos': []}"
1205578928921939968,False,2019-12-14 04:03:09,.@staceyabrams should be Governor of Georgia https://twitter.com/srl/status/1205572872938373120 …,119,2237,9904,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205568067121475586,False,2019-12-14 03:20:00,"At a time when the President of the United States is hell-bent on lying and deceiving Americans, I’m going to tell the truth pic.twitter.com/q1QkCwZOBq",41,436,1968,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'kebtjycQI4t1UFMA'}]}"
1205559814291673094,False,2019-12-14 02:47:12,"No candidate for the Democratic nomination should cross a picket line.

I stand with @UNITEHERE11 and urge @LoyolaMarymount to live up to its Jesuit values by respecting the needs and desires of the @sodexoUSA workers that feed their great university.",19,321,1322,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205519393976979457,False,2019-12-14 00:06:35,"Even in the heart of red America, our nation has always been a place of refuge and sanctuary for those in need.

Democrats shouldn’t be afraid to make that moral case without reservation https://www.washingtonpost.com/nation/2019/12/10/north-dakota-county-votes-allowing-refugees-settle-under-trump-executive-order/ …",20,256,808,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205278104001957890,False,2019-12-13 08:07:47,"You can't be what you can't see.

Gracias, @Lin_Manuel. https://twitter.com/Lin_Manuel/status/1205126178509639681  pic.twitter.com/1NqD5MT3aT",12,158,1701,"{'hashtags': [], 'urls': ['https://twitter.com/Lin_Manuel/status/1205126178509639681'], 'photos': [], 'videos': [{'id': 'ELoCCmLXkAACoHM'}]}"
1205257586297192449,False,2019-12-13 06:46:15,"Millions of children and young adults in our foster care system have been left behind—leading to poverty, housing insecurity, or incarceration.

I put forward the only foster care plan in this campaign to support folks like the student I met in Iowa City last night pic.twitter.com/TGRHmg62Fv",34,506,1872,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'Mj1isb4QkKpppMEL'}]}"
1205217231568850945,False,2019-12-13 04:05:54,Looking forward to seeing you there https://twitter.com/MaricopaDems/status/1199125633403482112 …,3,60,235,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205165848454979587,False,2019-12-13 00:41:43,"The president of the United States is mocking a 16-year-old on Twitter.

It’s clear why one of them is the Person of the Year and the other is unfit for office https://twitter.com/realDonaldTrump/status/1205100602025545730 …",531,4016,21952,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204930555290308608,False,2019-12-12 09:06:45,"How can we tell corporations, universities, media outlets—or Republicans—to diversify if we’re not willing to work on own house?

Democrats—we can do better pic.twitter.com/A3gds5cBSr",23,309,1212,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'OtFvmsg3elfTyg17'}]}"
1204903478994391041,False,2019-12-12 07:19:10,"I stand with our Jewish neighbors around the country to reject the anti-Semitism and violence carried out in Jersey City yesterday.

We must disarm hate by fighting bigotry and enacting common sense gun reforms to make sure these heinous crimes aren’t made worse https://twitter.com/nytimes/status/1204770148932104192 …",19,235,1181,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204885821775441921,False,2019-12-12 06:09:00,"President Scrooge, indeed. 

Trump’s cuts to SNAP benefits go against everything the holidays celebrate. We need a president who won’t just defend SNAP, but expand it https://www.latimes.com/opinion/story/2019-12-09/trumps-christmas-gift-to-millions-of-poor-americans-a-cut-to-their-small-food-stipend …",34,332,1050,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204876510391197696,False,2019-12-12 05:32:00,"Students and young people like Sara know that structural roadblocks to democracy keep people from participating.

Thank you @GrinnellCollege for such a great conversation. You’re the future pic.twitter.com/bqdFB2Reg4",6,86,291,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'P0qXXtpFmpax8GzZ'}]}"
