tweetId,isRetweet,time,text,replies,retweets,likes,entries
1205582220443955206,False,2019-12-14 04:16:14,We've made a lot of progress fighting climate change even with the Trump administration working against us. Imagine how much more we can do with a president who leads the way https://www.newsweek.com/michael-bloomberg-trump-refuses-lead-climate-change-i-refuse-wait-opinion-1477198 …,165,117,693,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205576955866877955,False,2019-12-14 03:55:19,"We’ll cut greenhouse emissions across the entire U.S. economy by 50% by 2030.

Other candidates talk about 2045 or 2050 when they’re long out of office. I’m focused on delivering progress immediately – because I’m a doer, not a talker. https://mikebloom.bg/2RNdO3l pic.twitter.com/oc0rptaHTD",65,56,362,"{'hashtags': [], 'urls': ['https://mikebloom.bg/2RNdO3l'], 'photos': ['https://pbs.twimg.com/media/ELsR2HHXUAEe1PM.jpg'], 'videos': []}"
1205560082207039489,False,2019-12-14 02:48:16,"We’ll also replace existing gas plants – and stop the construction of new ones. This is critical to stopping the worst effects of climate change because gas is now a bigger source of climate pollution than coal, and emissions from gas are growing. https://mikebloom.bg/34csFHi pic.twitter.com/IweS27Etsk",80,63,367,"{'hashtags': [], 'urls': ['https://mikebloom.bg/34csFHi'], 'photos': ['https://pbs.twimg.com/media/ELsCe3CXUAYYNp1.jpg'], 'videos': []}"
1205554417942122497,False,2019-12-14 02:25:46,"As part of our Beyond Coal campaign, we’ve closed more than half of the coal plants in the country - even with President Trump working against us. 

We’ve set a goal of retiring all of them and replacing coal with clean energy sources. https://mikebloom.bg/35lDHeD pic.twitter.com/4bfjafrmPi",188,70,359,"{'hashtags': [], 'urls': ['https://mikebloom.bg/35lDHeD'], 'photos': ['https://pbs.twimg.com/media/ELr9WJFW4AAet7H.jpg'], 'videos': []}"
1205547091096936448,False,2019-12-14 01:56:39,"Jeremy Corbyn's catastrophic showing in the U.K. is a clear warning: 

We need a Democratic nominee who can defeat Donald Trump by running a campaign that appeals to Americans across our divides.",2887,577,3964,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205538399408537600,False,2019-12-14 01:22:06,"As president, I’ll set new, ambitious climate goals for our country - goals we can actually achieve over the next eight years. 

I will push for an 80% reduction in electricity emissions by 2028, setting us on the path to 100% clean electricity. https://mikebloom.bg/2YKLsrU ",91,104,656,"{'hashtags': [], 'urls': ['https://mikebloom.bg/2YKLsrU'], 'photos': [], 'videos': []}"
1205512414764130304,False,2019-12-13 23:38:51,Ballad of a Climate Denie pic.twitter.com/GHkisJgOwj,126,208,914,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'aixFAVIKBAu4KKcw'}]}"
1205213578950840322,False,2019-12-13 03:51:23,"To beat Trump & rebuild our country, we need talented organizers connecting with voters in battleground states. Through @orgcorps2020, @TheDemocrats are building the team to help flip the White House & Senate. Apply to join at http://organizingcorps2020.com .",120,114,553,"{'hashtags': [], 'urls': ['http://organizingcorps2020.com'], 'photos': [], 'videos': []}"
1205125564954238982,False,2019-12-12 22:01:39,Great to catch up with Willie Brown in San Francisco last night pic.twitter.com/Pm2woUWDaS,139,54,523,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELl3TWGW4AE6oS7.jpg'], 'videos': []}"
1204919301083410432,False,2019-12-12 08:22:02,"Thank you, @JerryBrownGov, for your leadership and partnership, and for all the great work you have done to help make California a global leader in fighting climate change pic.twitter.com/rCgod0mNKK",118,108,626,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELi7tbrXkAEmWqU.jpg'], 'videos': []}"
1204909098233253889,False,2019-12-12 07:41:29,"Mayor @MichaelDTubbs has one of the most ambitious agendas in America in terms of fighting poverty, improving schools, reducing homelessness, & improving affordability. That’s my kind of mayor - and I’m honored to have earned his endorsement pic.twitter.com/5YOSIGUPNU",86,125,761,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'Ip7MC775vYX2k7ir'}]}"
1204885644679503879,False,2019-12-12 06:08:18,The despicable attack in Jersey City is part of a deeply disturbing pattern of violence against the Jewish community that is -- and it's hard to believe this could be true in 2019 America -- all too common https://mikebloom.bg/2t9uXKu ,58,114,513,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204879768581226498,False,2019-12-12 05:44:57,Trump ended rules that keep toxic chemicals out of our air and water - now he falsely claims credit for keeping them clean. That's like going bankrupt six times and calling yourself a successful businessman https://twitter.com/thehill/status/1204614812786970624 …,301,1278,4949,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204870035308765186,False,2019-12-12 05:06:16,"Thanks for your endorsement, Mayor @MichaelDTubbs, and to all Stocktonians who came out today to share what matters most to them https://twitter.com/MichaelDTubbs/status/1204863481851207680 …",22,45,257,"{'hashtags': ['#Bloomberg2020'], 'urls': [], 'photos': [], 'videos': []}"
1204862173345910784,False,2019-12-12 04:35:02,"We’ll also increase the Child Tax Credit, expand its eligibility, and make it fully refundable so that it benefits the poorest families. We have to invest in our kids’ futures - they’re the leaders of tomorrow.",16,29,203,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204862171609468929,False,2019-12-12 04:35:01,"We'll reform the Earned Income Tax Credit to make it more generous, especially for single childless workers, and make it easier to administer so people who are eligible actually receive the benefits without having to deal with all the paperwork.",9,29,207,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204862168769929218,False,2019-12-12 04:35:00,"As president, I’ll raise the minimum wage to $15 an hour by 2025. We raised it in New York - and we should do it nationally, too. https://mikebloom.bg/38otRux pic.twitter.com/bmkgOEHRIR",112,93,596,"{'hashtags': [], 'urls': ['https://mikebloom.bg/38otRux'], 'photos': ['https://pbs.twimg.com/media/ELiHvttXsAgmfcv.jpg'], 'videos': []}"
1204855317806362626,False,2019-12-12 04:07:47,"We’ll also set aside $10 billion for a competition to reward municipalities that offer the best solutions to restrictive zoning and other obstacles, as well as increasing funding for federal housing vouchers and reforming them.",19,17,181,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
