tweetId,isRetweet,time,text,replies,retweets,likes,entries
1205251985794064384,False,2019-12-13 06:24:00,"Newsflash: Texans don’t want the federal government seizing their land for a medieval wall.

Who could’ve known? Oh wait pic.twitter.com/ycC3bhDHRc",11,99,369,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'n7oIHinFDuDGotN1'}]}"
1205249727303966720,False,2019-12-13 06:15:02,"President Trump’s genius plan for border security:

 Get Mexico to pay for the wall
 Shut the government down to get Americans to pay for the wall
 Get Texans to give up their land for the wal https://www.wsj.com/articles/construction-of-texas-border-wall-stalls-over-fights-with-landowners-11576154415?mod=e2tw …",28,118,372,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205241235352498177,False,2019-12-13 05:41:17,"America is facing an affordable housing crisis – crippling economic security for millions of families. And unless we take action, it will only get worse.

Really appreciate @SenToddYoung's cosponsorship of our #EvictionCrisisAct. Read more here: http://www.bennet.senate.gov/EvictionCrisisAct  pic.twitter.com/oL5JDRa0iU",3,17,45,"{'hashtags': ['#EvictionCrisisAct'], 'urls': ['http://www.bennet.senate.gov/EvictionCrisisAct'], 'photos': ['https://pbs.twimg.com/media/ELngcMEWoAY2Uvq.jpg'], 'videos': []}"
1205231564248043520,False,2019-12-13 05:02:51,"Today I introduced the Renewable Energy Transferability Act, which will allow more than 900 rural electric coops to use clean energy tax credits. Read more  https://go.usa.gov/xpdHE pic.twitter.com/mfiqts9xa4",2,12,55,"{'hashtags': [], 'urls': ['https://go.usa.gov/xpdHE'], 'photos': ['https://pbs.twimg.com/media/ELnXUtQXYAcmmTH.jpg'], 'videos': []}"
1205207481212899328,False,2019-12-13 03:27:09,Important story with new data showing that many families are evicted over relatively small amounts of money. My #EvictionCrisisAct with @SenRobPortman that we introduced today will give families who are facing eviction the support they need to stay in their homes https://twitter.com/UpshotNYT/status/1205085791480881152 …,13,24,94,"{'hashtags': ['#EvictionCrisisAct'], 'urls': [], 'photos': [], 'videos': []}"
1205190764944351232,False,2019-12-13 02:20:44,"Thanks @SenSherrodBrown for your leadership as a cosponsor of the #EvictionCrisisAct. For families struggling to rise into the middle class, the support our bill provides can't come soon enough https://www.bennet.senate.gov/public/index.cfm/press-releases?id=64174B0C-678D-4F6B-9629-6F5F473406CB …",3,17,69,"{'hashtags': ['#EvictionCrisisAct'], 'urls': [], 'photos': [], 'videos': []}"
1205145953835114497,True,2019-12-12 23:22:40,Big day! The #EvictionCrisisAct contains the campaign’s proposal for an emergency rental assistance program. Thanks ⁦@SenatorBennet⁩ ⁦@senrobportman⁩ for your bipartisan leadership. Congress should pass this quickly. #OpportunityStartsatHom https://www.bennet.senate.gov/public/index.cfm/2019/12/bennet-portman-introduce-major-proposal-to-tackle-the-eviction-crisis …,0,18,37,"{'hashtags': ['#EvictionCrisisAct', '#OpportunityStartsatHome'], 'urls': [], 'photos': [], 'videos': []}"
1205144138758443009,False,2019-12-12 23:15:27,Today @SenRobPortman and I introduced a major bipartisan proposal to tackle America’s eviction crisis. Our #EvictionCrisisAct will go a long way in helping the millions of Americans who are evicted – or face the risk of eviction – every year. Details https://www.bennet.senate.gov/public/index.cfm/2019/12/bennet-portman-introduce-major-proposal-to-tackle-the-eviction-crisis  pic.twitter.com/ksWF5xwCii,11,30,97,"{'hashtags': ['#EvictionCrisisAct'], 'urls': ['https://www.bennet.senate.gov/public/index.cfm/2019/12/bennet-portman-introduce-major-proposal-to-tackle-the-eviction-crisis'], 'photos': [], 'videos': [{'id': 'Gvzts7qoO7QRbdec'}]}"
1204885700782505985,False,2019-12-12 06:08:31,"Well, this aged well. 

Two years after Republicans passed their tax bill, every argument they made has proven false:

Raise middle-class incomes by $4K
Increase growth to 5 or 6%
Pay for itself

Is anyone surprised https://twitter.com/nowthisnews/status/936758825431973888 …",120,2016,5184,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204522813660356608,False,2019-12-11 06:06:32,"Thanks to @repdelgado for his testimony today on our Medicare-X Choice Act at the @EnergyCommerce hearing on the need to achieve universal coverage.

By providing an affordable option, our bill will reduce costs, improve quality, & pave the road to universal coverage https://twitter.com/EnergyCommerce/status/1204421764073369601 …",11,8,28,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204498108815683584,False,2019-12-11 04:28:22,The “greatest danger to our free system” is an attorney general and president who turn a blind eye to the rule of law https://twitter.com/alex_mallin/status/1204453908791406593 …,66,137,596,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204488943707836417,False,2019-12-11 03:51:57,"This year, the House voted to save #NetNeutrality, but Leader McConnell won’t allow a vote on it in the Senate.

A free and open internet is essential to our democracy – @senatemajldr, bring the #SaveTheInternet Act up for a vote. We must restore the open internet pic.twitter.com/JBv2jew3Qm",21,102,172,"{'hashtags': ['#NetNeutrality', '#SaveTheInternet'], 'urls': [], 'photos': [], 'videos': [{'id': 'ELc0OcpX0AErFcU'}]}"
1204131390847176709,False,2019-12-10 04:11:09,"This report confirms the FBI had sound basis for opening its investigation. 
 
And it proves the absurd claims of President Trump & his defenders are a pathetic attempt to distract from the critical issue of Russian interference in the 2016 election and the Trump campaign's role https://twitter.com/NPR/status/1204106855976439810 …",38,141,545,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204097515555033088,False,2019-12-10 01:56:33,"Very saddened to hear of the passing of Rep. Kimmi Lewis. Rep. Lewis was a champion for the people of Southeast Colorado and a fierce advocate for our state’s farmers and ranchers. My deepest condolences to her family, friends, and colleagues https://www.denverpost.com/2019/12/06/kimmi-lewis-colorado-house-obituary/ …",1,5,53,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203786339059163136,False,2019-12-09 05:20:03,"The last thing a patient should worry about is being blindsided by unexpected costs.
 
Encouraged by the bipartisan agreement announced today to protect patients from surprise bills. My statement w/ @SenBillCassidy
& @SenatorHassan https://go.usa.gov/xpyMD ",7,28,94,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203044686233063426,False,2019-12-07 04:12:59,"Our democracy is under assault – from gerrymandering, money in politics, voter suppression, and more. 

Congress must rise in its defense. 

Today, the House did its job by passing the Voting Rights Advancement Act to #RestoreTheVote. 

@senatemajldr, when will we do ours?",35,144,553,"{'hashtags': ['#RestoreTheVote'], 'urls': [], 'photos': [], 'videos': []}"
1202700618948861952,False,2019-12-06 05:25:47,"Glad the Senate passed the bipartisan #FUTUREAct today, and am encouraged by the FAFSA improvements in the bill. This funding, which is crucial for Colorado’s HSIs and TCUs – like @fortlewiscollege and @CCDedu – is long overdue https://www.usnews.com/news/education-news/articles/2019-12-04/senate-reaches-bipartisan-agreement-to-fund-hbcus …",3,5,36,"{'hashtags': ['#FUTUREAct'], 'urls': [], 'photos': [], 'videos': []}"
1202667509410869251,False,2019-12-06 03:14:13,"Colorado is one of the few states still free of invasive mussels – to keep it that way, @SteveDaines, @SenatorTester and I introduced new legislation to provide Western states more resources to stop the spread of aquatic invasive species https://www.bennet.senate.gov/public/index.cfm/2019/12/bennet-introduces-new-bipartisan-legislation-to-stop-the-spread-of-aquatic-invasive-species …",7,13,64,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202653719873163264,False,2019-12-06 02:19:25,Important piece from @DailySentinelGJ's editorial board clearing the air on some of the misrepresentations of our #COREAct https://www.gjsentinel.com/opinion/editorials/confused-about-the-core-act/article_ecc1636c-16b1-11ea-a1ac-20677ce06c14.html …,1,7,10,"{'hashtags': ['#COREAct'], 'urls': [], 'photos': [], 'videos': []}"
1202351214127697923,False,2019-12-05 06:17:22,"Robocalls are irritating, intrusive, exploitative, even dangerous –and Americans had to endure over 5 BILLION of them last month alone. 

This has to stop. 

Now, the Senate should move quickly and pass this bill https://thehill.com/policy/technology/472993-house-passes-anti-robocall-bill …",20,55,293,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202315405416632320,False,2019-12-05 03:55:05,"The hemp industry is booming in CO & nationwide, yet hemp-related businesses continue to face significant hurdles due to the lack of access to the banking system. 

New guidelines from financial regulators are a welcome first step in removing this barrier https://www.bennet.senate.gov/public/index.cfm/press-releases?id=A3DF115B-7921-454C-89B3-C5383BAA613A …",6,16,64,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202048806654791680,False,2019-12-04 10:15:43,Honored to escort Colorado Air Natl Guard SSgt. Jami DeVries of Erie as she accepted the USO National Guard Servicemember of the Year award for the lifesaving treatment she provided to an injured motorcyclist after witnessing the catastrophic accident. Truly inspiring pic.twitter.com/B037OMs6Vp,8,9,116,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EK6JA2fX0AE2EFx.jpg'], 'videos': []}"
1201998295180070912,False,2019-12-04 06:55:00,"“We really need to get carriers to be honest about what areas they’re serving, what they’re not serving, and what the speeds are.”

Exactly. That's why my Broadband Transparency & Accountability Act strengthens FCC maps to help close the digital divide https://www.newyorker.com/tech/annals-of-technology/the-one-traffic-light-town-with-some-of-the-fastest-internet-in-the-us …",5,22,104,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
