tweetId,isRetweet,time,text,replies,retweets,likes,entries
1205627216744210432,False,2019-12-14 07:15:02,.@TheDemocrats are seeking organizers in key battleground-states and the 2020 election presents a prime opportunity for young people to get involved. Make a direct impact and help save our democracy—apply today with @orgcorps2020: http://organizingcorps2020.com  #OC2020.,38,60,118,"{'hashtags': ['#OC2020'], 'urls': ['http://organizingcorps2020.com'], 'photos': [], 'videos': []}"
1205521898005766144,True,2019-12-14 00:16:32,"We are moving forward with Articles of Impeachment to urgently respond to the President’s actions, which are an imminent threat and a clear and present danger to our national security and our democracy. 

No one is above the law. 

Not even the President. 

#DefendOurDemocrac pic.twitter.com/YHG2bRvdah",980,3262,9434,"{'hashtags': ['#DefendOurDemocracy'], 'urls': [], 'photos': [], 'videos': [{'id': 'IkVCvxVbXihYsUPw'}]}"
1205600964469673985,False,2019-12-14 05:30:43,"The right time to do the right thing is always right now. The American people have seen the facts. We're going to impeach the most corrupt president in history. It's up to the House, including the @GOP, to restore integrity to the oval office and hold @realDonaldTrump to account.",82,198,835,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205596910641438720,True,2019-12-14 05:14:37,"A must read: ""A staff presence of over 100 will ensure that the @TomSteyer campaign has a dominating presence in the state.""

Great work in the Palmetto State being done every single day by @BrandonUpson @TiffianyVaughn and countless others https://twitter.com/MeetThePress/status/1205548614619152384 …",3,8,30,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205574394426228736,False,2019-12-14 03:45:08,"I support @UNITEHERE11. If their dispute with @sodexoUSA is not resolved before the debate, I will not cross the picket line. I trust the DNC will find a solution ahead of the debate, and I stand with @LoyolaMarymount workers in their fight for fair wages and benefits.",89,327,1788,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205527325036572672,True,2019-12-14 00:38:06,.@TomSteyer: “I have always felt that the court that matters in terms of impeachment and removal of the most corrupt president in American history is the court of public opinion and the people who matter are the people of the United States.” http://abcn.ws/2CcjBVI pic.twitter.com/KGFMTbrbaF,237,139,546,"{'hashtags': [], 'urls': ['http://abcn.ws/2CcjBVI'], 'photos': [], 'videos': [{'id': 'ELrktY8UYAEWaNs'}]}"
1205517106613293056,True,2019-12-13 23:57:30,".@RepSwalwell after vote: “President Trump is on a constitutional crime spree, jeopardizing our national security and the integrity of our elections. We have no choice but to act.”

#ImpeachmentVote @sfchronicle @ericswalwell https://twitter.com/dustingardiner/status/1205505278617292800  pic.twitter.com/Pd4nVEDcj5",159,838,2650,"{'hashtags': ['#ImpeachmentVote'], 'urls': ['https://twitter.com/dustingardiner/status/1205505278617292800'], 'photos': ['https://pbs.twimg.com/media/ELrbaqLXsAAJaOM.jpg'], 'videos': []}"
1205522603181363200,False,2019-12-14 00:19:20,"The truth isn’t subject to interpretation. The @GOP’s endless attempts to distract from @realDonaldTrump’s crimes, corruption, and coverups are an insult to the foundation upon which this nation was built https://www.msnbc.com/11th-hour/watch/rick-wilson-gop-trying-to-distract-from-the-fact-trump-committed-crimes-75006021813 …",90,293,849,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205467577566269441,True,2019-12-13 20:40:41,"This is what it’s all about. And yet, basically no one has even seen these figures. We need to communicate this everywhere over and over again. Let’s get started https://twitter.com/peters_glen/status/1205449629527166976 …",2010,38216,93489,"{'hashtags': ['#COP25', '#CarbonBudget'], 'urls': [], 'photos': [], 'videos': []}"
1205348000375160833,True,2019-12-13 12:45:32,"Despite Republican efforts to force us to pass these articles of impeachment in the dead of night, we will vote in the morning. The American people deserve to know the truth! 

#impeachmentDebate
#DefendOurDemocracy",141,428,2352,"{'hashtags': ['#impeachmentDebate', '#DefendOurDemocracy'], 'urls': [], 'photos': [], 'videos': []}"
